id,article_id,article_category_id,is_main_category,created_at,updated_at
1,1,7,1,2024-10-11 0:00:00,2024-10-11 0:00:00
2,2,7,1,2024-10-14 0:00:00,2024-10-14 0:00:00
3,3,7,1,2024-10-16 0:00:00,2024-10-16 0:00:00
4,4,7,1,2024-10-16 0:00:00,2024-10-16 0:00:00
5,5,7,1,2024-10-16 0:00:00,2024-10-16 0:00:00
6,6,8,1,2024-10-16 0:00:00,2024-10-16 0:00:00
7,7,9,1,2024-10-17 0:00:00,2024-10-17 0:00:00
8,8,9,1,2024-10-17 0:00:00,2024-10-17 0:00:00
9,9,12,1,2024-10-17 0:00:00,2024-10-17 0:00:00
10,10,12,1,2024-10-17 0:00:00,2024-10-17 0:00:00
